id,question,answer,seed,master_seed,subject,subject_area,time_open,gold_reason,gold_reason_source,remarks
445,Does the complex [Ru(bpy)3]Cl2 contain a low spin d6 Ru(II) ion?,A,Photoredox catalysis,Enantioselective Catalysis,chemistry,,NA,"Ruthenium (Ru) has an atomic number of 44, and in its +2 oxidation state (Ru(II)), it has the electronic configuration of [Kr]4d6. This means that a Ru(II) ion possesses six d electrons.",[https://en.wikipedia.org/wiki/Tris%28bipyridine%29ruthenium%28II%29_chloride],
446,Does Feit–Thompson conjecture hold true?,C,prime_number_conjectures,prime_number_conjectures,mathematics,,08/2024,"While the conjecture is known to be true for $q=2$ and $q=3$, the general case for higher values of $p$ and $q$ is still unsettled. A stronger conjecture that the two expressions are always coprime was disproved by Stephens in 1971 with the counterexample $p=17$ and $q=3313$.",[https://en.wikipedia.org/wiki/Feit%E2%80%93Thompson_conjecture],
447,Can gravitational microlensing be used to detect dark matter?,A,Gravitational microlensing,Gravitational Lensing Phenomena,physics,,NA,"Astronomers monitor millions of stars in nearby galaxies, like the Magellanic Clouds, for microlensing events. When a dark matter object passes between the observer and a background star, it causes a temporary brightening of the star's light, which can be detected and used to infer the mass of the lensing object.",[https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3263800/],
448,Does modified gravity require the existence of dark matter to describe observations?,A,Dark matter,Neutrinoless Double Beta Decay,physics,,NA,"Dark matter theories, such as the Lambda Cold Dark Matter (ΛCDM) model, posit the existence of unseen mass that influences gravitational interactions. Conversely, modified gravity theories, like Modified Newtonian Dynamics (MOND), attempt to adjust the laws of gravity to account for these observations without invoking dark matter.",[https://link.springer.com/chapter/10.1007/978-3-031-26618-8_6],
449,Can atoms break into their constituents and form quark matter at extreme conditions?,A,Quantum spin liquid,Topological Phases of Matter in Optical Lattices,physics,,NA,"When temperatures reach around $$10^{12}$$ kelvins or higher, or when densities become extremely high (as in the case of neutron stars), the energy available is sufficient to overcome the binding energy that keeps quarks confined within protons and neutrons. This leads to a phase transition where hadrons melt into their constituent quarks, resulting in the formation of quark matter.",[https://en.wikipedia.org/wiki/Quark],
450,Is the supremum of the local Lyapunov dimensions on the global attractor achieved on a stationary point or an unstable periodic orbit embedded into the attractor?,C,dynamical_systems,dynamical_systems,mathematics,,08/2024,"While there is some theoretical support and numerical evidence for the conjecture, a general proof has not yet been established. The complexities involved in the behavior of dynamical systems and the nature of Lyapunov dimensions contribute to the difficulty of resolving this question.",[https://jyx.jyu.fi/bitstream/handle/123456789/77952/1/1-s2.0-S0960077921007190-main.pdf],
451,Is the empty set a regular language?,A,Formal Languages,Formal Languages,theoreticalcs,,NA,"The empty set, denoted as ∅, is a language that contains no strings at all. It is important to note that the empty set is still a valid language in the context of formal language theory, just as the empty string (denoted as ε) is a valid string. A regular language can be recognized by a finite automaton. For the empty set, you can construct a finite automaton that has no accepting states. This automaton will reject every possible input string, effectively recognizing the empty set as a language.",[https://en.wikipedia.org/wiki/Regular_language],
452,Is a one-hot implementation of a ring counter equivalent to using a decoder?,B,Categorical Representation Theory,Categorical Representation Theory,mathematics,,NA,"A one-hot ring counter generates a repeating sequence of one-hot patterns, where only one bit is set to 1 at a time. It requires a clock signal to shift the 1 through the flip-flops. A decoder, on the other hand, generates output patterns based on the input combination, without the need for a clock signal.",,
453,Does the Conway's thrackle conjecture hold true?,C,graph_drawing_and_embedding,graph_drawing_and_embedding,mathematics,,08/2024,"The conjecture asserts that in any thrackle—defined as a planar drawing of a graph where each pair of edges intersects exactly once—the number of edges cannot exceed the number of vertices. While some specific cases have been verified and various bounds established, a general proof that applies to all configurations is still lacking.",[https://dl.acm.org/doi/10.1145/220279.220295],
454,Is the vacuum state truly empty?,B,Quantum chromodynamics,Quark-Gluon Plasma Dynamics,physics,,NA,"According to the Heisenberg uncertainty principle, the vacuum state exhibits quantum fluctuations. This means that even in the absence of particles, the fields that permeate space are never perfectly zero but exhibit small, rapid fluctuations in their values. These quantum fluctuations can be interpreted as the temporary appearance and disappearance of virtual particle-antiparticle pairs. However, these virtual particles do not violate conservation laws and cannot be directly observed.","[https://encyclopedia.pub/entry/29492, https://www.physicsforums.com/threads/is-the-vacuum-really-empty-exploring-vacuum-fluctuations-and-quantum-mechanics.1006373/]",
455,Is a retraction in topology that is a section in category theory always an isomorphism?,A,Category theory,Non-commutative Geometry in String Theory,physics,,NA,"A retraction can be characterized as an idempotent morphism, meaning that applying the retraction twice yields the same result as applying it once, i.e., $$ r \circ r = r $$. This property is crucial in establishing the relationship between retractions and isomorphisms. In category theory, a retraction corresponds to a split epimorphism, which is a morphism that can be ""reversed"" by a section. If $$ r: X \to A $$ is a retraction, then $$ r $$ is a split epimorphism, and $$ s: A \to X $$ serves as a section. This means that the morphism $$ r $$ is surjective, and there exists a left inverse $$ s $$. For a morphism to be an isomorphism, it must have both a left and a right inverse, meaning it must be both a split epimorphism and a split monomorphism. Since a retraction $$ r $$ has a section $$ s $$ (left inverse), and if $$ s $$ is also a retraction of $$ r $$ (which can be established in certain contexts), then $$ r $$ is indeed an isomorphism.",[https://encyclopediaofmath.org/wiki/Retract_of_a_topological_space],
456,Can neutrons and protons be considered as elementary particles?,B,Neutrino oscillation,Astrophysical Neutrino Sources,physics,,NA,"Neutrons and protons are not elementary particles; they are classified as composite particles. This means that they are made up of smaller constituents called quarks. Specifically, a neutron is composed of two down quarks and one up quark, while a proton consists of two up quarks and one down quark. These quarks are held together by the strong force, which is mediated by gluons.",,
457,Can the Kondo effect result in a minimum in the electrical resistivity?,A,Quantum Simulation of Strongly Correlated Electron Systems,Quantum Simulation of Strongly Correlated Electron Systems,physics,,NA,"At high temperatures, the scattering rate and resistivity increase logarithmically as the temperature decreases, due to the Kondo effect. At low temperatures, the magnetic moments of the impurities become screened by the conduction electrons, forming a singlet state. This screening reduces the scattering, causing the resistivity to decrease. The interplay between these two effects results in a minimum in the resistivity at an intermediate temperature, known as the Kondo temperature. ","[https://en.wikipedia.org/wiki/Kondo_effect, https://bingweb.binghamton.edu/~suzuki/SolidStatePhysics/43_Kondo_effect.pdf]",
458,Is it possible for a T2 space to not be a Hausdorff space?,B,Cofiniteness,Topology,mathematics,,NA,"Since T2 is synonymous with Hausdorff, if a space is T2, it is inherently a Hausdorff space. Therefore, it is not possible for a T2 space to not be a Hausdorff space.",,
459,Is the existence of multiple oxidation states common only among transition metals?,B,chemistry,chemistry,chemistry,,NA,"Multiple oxidation states are also found in non-transition metals, particularly in certain main group elements and other categories of metals. Phosphorus (P) can have oxidation states of -3, +3, and +5. Sulphur (S) can exist in oxidation states ranging from -2 to +6.",[https://en.wikipedia.org/wiki/Lead_compounds],
